round home_team away_team home_score away_score
1 2 9 130 120
1 3 12 99 90
1 16 14 134 93
1 23 22 102 106
1 17 1 104 119
1 13 18 80 108
1 6 8 126 114
1 30 7 101 137
1 20 4 125 101
1 28 21 92 129
1 15 26 115 110
1 19 24 126 124
1 27 5 124 139
1 10 11 99 93
1 23 22 102 94
1 1 14 134 132
1 2 17 111 105
1 5 12 123 132
1 27 26 113 140
1 10 18 90 107
1 25 29 99 141
1 4 6 102 116
1 30 8 122 113
1 19 21 109 119
1 20 9 111 120
1 28 7 118 125
1 2 15 121 127
1 16 24 121 111
1 5 23 100 108
1 3 17 113 118
1 12 4 109 113
1 1 8 111 141
1 16 6 122 113
1 22 24 115 110
1 30 15 112 140
1 27 19 121 116
1 10 18 114 106
1 13 11 106 117
1 26 29 141 97
1 14 25 107 98
1 28 20 108 113
1 17 22 114 109
1 21 7 118 104
1 20 1 100 108
1 11 10 91 90
1 2 9 123 99
1 16 28 114 104
1 19 26 109 111
1 6 30 115 105
1 23 12 107 121
1 18 14 97 87
1 15 3 135 119
1 5 4 109 95
1 8 13 120 98
1 29 24 126 134
1 25 27 116 118
1 17 1 110 102
1 21 11 111 96
1 12 19 119 104
1 30 2 98 112
1 22 20 91 100
1 27 18 92 106
1 24 25 116 109
1 10 7 133 143
1 14 15 116 110
1 9 16 125 124
1 4 23 108 121
1 28 5 121 122
1 3 6 101 130
1 26 8 129 130
1 13 29 144 107
1 9 29 119 126
1 22 21 99 105
1 30 4 123 114
1 2 5 108 117
1 28 3 94 101
1 11 19 133 113
1 15 10 144 93
1 27 1 133 126
1 7 13 95 118
1 24 12 111 120
1 18 20 107 133
1 25 8 126 124
1 26 14 100 113
1 23 4 108 98
1 6 17 124 101
1 16 21 97 104
1 26 14 99 103
1 22 16 121 114
1 1 15 112 128
1 3 29 94 105
1 6 23 126 99
1 5 2 98 123
1 17 30 112 101
1 18 10 103 113
1 19 20 93 104
1 7 13 113 97
1 27 25 114 94
1 24 9 125 133
1 28 11 110 114
1 26 12 95 122
1 19 8 129 132
1 4 11 101 114
1 6 29 124 113
1 22 2 108 104
1 23 27 111 106
1 1 18 117 104
1 16 3 110 95
1 20 28 139 125
1 5 17 91 112
1 15 13 110 114
1 21 30 123 105
1 7 25 132 108
1 8 24 117 90
1 10 12 105 111
1 14 9 114 117
1 20 27 117 114
1 7 18 99 105
1 2 23 114 118
1 10 14 113 115
1 24 8 110 100
1 12 21 114 120
1 22 16 88 89
1 30 4 113 110
1 1 5 141 133
1 15 28 155 126
1 17 3 105 111
1 19 11 111 128
1 25 29 122 120
1 26 9 113 114
1 22 20 85 108
1 2 12 142 105
1 3 27 87 95
1 11 18 112 113
1 19 15 124 132
1 8 6 135 149
1 24 7 89 98
1 13 10 102 92
1 1 16 120 110
1 4 21 94 106
1 30 20 132 136
1 5 17 116 111
1 10 24 109 105
1 8 9 134 121
1 29 23 111 114
1 25 7 126 122
1 14 26 132 122
1 22 3 102 101
1 2 12 114 123
1 28 1 107 136
1 11 16 100 104
1 21 15 130 106
1 18 27 112 110
1 4 5 108 115
1 30 20 106 126
1 19 13 113 116
1 29 8 121 132
1 10 6 95 113
1 25 23 103 125
1 26 7 110 100
1 2 28 125 71
1 12 17 112 120
1 27 13 122 86
1 21 18 113 105
1 24 15 112 117
1 14 6 110 122
1 9 22 105 96
1 30 5 125 107
1 16 19 119 108
1 20 29 119 103
1 28 3 130 113
1 11 7 110 99
1 8 1 139 120
1 26 23 113 107
1 16 12 115 128
1 18 2 115 118
1 17 3 110 113
1 21 13 116 98
1 10 23 139 105
1 14 25 114 106
1 9 4 98 94
1 28 22 97 106
1 11 2 86 109
1 19 30 132 120
1 21 20 117 107
1 7 6 122 134
1 8 27 110 113
1 26 15 138 133
1 14 1 119 102
1 3 23 94 123
1 9 18 119 105
1 12 24 126 108
1 16 29 100 136
1 5 20 139 126
1 17 25 102 105
1 27 8 111 122
1 10 15 121 113
1 13 1 131 105
1 21 2 105 92
1 6 4 115 105
1 30 19 98 110
1 22 29 92 105
1 11 14 119 115
1 10 26 99 129
1 9 25 118 115
1 23 24 99 109
1 3 12 99 113
1 20 22 94 103
1 28 17 104 128
1 5 27 114 110
1 15 7 119 104
1 18 13 108 106
1 26 16 123 118
1 4 24 115 104
1 30 11 112 135
1 7 14 118 97
1 19 18 97 104
1 29 1 121 124
1 8 2 106 118
1 10 16 98 114
1 6 21 129 122
1 12 5 129 113
1 23 30 109 103
1 20 28 112 98
1 3 9 98 113
1 19 25 100 119
1 8 13 126 103
1 17 27 121 105
1 6 28 132 126
1 9 10 104 107
1 22 18 89 104
1 7 25 117 111
1 15 11 115 119
1 24 1 123 115
1 29 16 92 97
1 12 10 108 96
1 22 17 106 109
1 23 19 115 123
1 2 26 97 114
1 20 21 101 126
1 5 30 138 105
1 8 3 124 105
1 24 29 114 106
1 9 28 123 114
1 18 15 125 127
1 25 16 98 119
1 20 17 140 106
1 7 8 101 112
1 5 26 119 124
1 2 19 120 119
1 6 12 93 108
1 22 23 104 99
1 30 21 95 136
1 29 3 112 111
1 24 4 120 113
1 30 18 106 120
1 20 9 119 124
1 28 10 104 101
1 11 15 120 118
1 14 27 102 126
1 13 16 109 98
1 12 6 117 127
1 23 21 102 118
1 1 24 122 117
1 5 19 113 119
1 17 26 130 115
1 7 8 99 118
1 25 3 114 132
1 23 20 119 125
1 28 2 110 97
1 5 1 94 110
1 17 22 122 93
1 19 7 119 116
1 27 15 115 129
1 8 11 108 128
1 29 4 112 117
1 18 10 115 116
1 14 16 117 108
1 13 3 126 67
1 9 12 100 111
1 30 24 123 130
1 21 6 134 114
1 25 13 89 118
1 26 11 132 127
1 2 22 121 94
1 20 18 99 116
1 16 8 113 133
1 17 28 130 112
1 19 29 136 123
1 5 4 123 125
1 7 21 106 98
1 27 15 112 140
1 14 3 102 101
1 9 24 121 125
1 2 1 115 119
1 12 23 115 102
1 10 30 122 114
1 18 6 117 124
1 25 11 103 125
1 16 27 128 107
1 22 8 100 113
1 17 23 123 109
1 21 3 127 101
1 13 14 116 102
1 25 5 113 102
1 26 30 123 100
1 4 7 110 105
1 11 9 96 107
1 15 18 108 106
1 20 1 119 110
1 6 24 118 92
1 10 2 85 125
1 19 29 123 119
1 13 5 99 112
1 3 20 95 99
1 16 25 107 116
1 28 22 109 93
1 8 23 144 109
1 14 30 111 88
1 1 9 104 114
1 3 24 94 108
1 7 18 114 115
1 11 6 109 108
1 15 4 132 120
1 21 29 123 114
1 26 10 123 117
1 13 2 113 117
1 12 27 110 140
1 22 25 79 101
1 1 28 119 122
1 21 7 115 121
1 17 16 125 96
1 8 26 132 123
1 10 5 131 106
1 14 2 117 96
1 13 30 110 93
1 4 25 97 102
1 23 6 132 129
1 15 19 139 126
1 27 12 98 136
1 18 8 133 104
1 7 2 107 122
1 3 16 97 106
1 4 19 123 92
1 22 9 121 113
1 1 28 94 117
1 6 11 131 135
1 20 26 143 120
1 5 23 97 109
1 15 29 123 103
1 10 14 108 118
1 24 30 119 109
1 13 17 127 117
1 25 21 108 118
1 4 14 107 112
1 6 9 110 91
1 2 11 112 114
1 3 26 96 110
1 16 22 125 119
1 20 15 143 106
1 28 19 113 104
1 5 8 129 121
1 18 1 100 92
1 7 30 130 108
1 29 17 110 125
1 24 13 111 109
1 1 11 96 100
1 23 14 118 104
1 10 29 114 103
1 25 17 125 112
1 4 3 83 104
1 12 9 133 119
1 30 28 82 106
1 2 5 122 100
1 16 6 106 126
1 20 8 122 112
1 23 26 117 104
1 19 7 136 137
1 27 13 116 128
1 24 18 113 121
1 10 21 116 109
1 30 14 96 134
1 6 1 137 115
1 29 18 113 138
1 15 11 120 119
1 25 22 119 90
1 4 13 104 112
1 9 7 117 102
1 23 8 134 137
1 28 5 106 122
1 19 2 116 118
1 27 17 144 118
1 10 24 105 130
1 12 1 132 127
1 29 22 113 99
1 4 8 104 107
1 11 3 98 110
1 18 30 103 105
1 21 26 144 110
1 20 14 112 128
1 27 16 103 105
1 25 24 127 108
1 9 5 127 119
1 6 7 144 101
1 28 13 115 108
1 23 2 110 118
1 17 15 119 132
1 4 30 114 124
1 9 1 130 132
1 20 11 124 118
1 15 27 128 109
1 18 26 114 116
1 21 17 125 96
1 8 19 125 113
1 29 12 111 112
1 10 22 104 99
1 25 24 121 119
1 23 7 118 116
1 6 2 105 112
1 3 11 99 97
1 28 20 115 121
1 5 16 133 124
1 13 14 97 122
1 25 12 112 89
1 4 17 102 112
1 9 6 115 118
1 1 27 125 126
1 3 30 102 119
1 23 16 101 108
1 28 15 107 138
1 18 5 127 108
1 29 10 131 128
1 8 19 144 119
1 21 24 140 109
1 26 22 111 130
1 2 7 120 127
1 18 11 127 114
1 8 22 112 90
1 14 10 120 112
1 25 26 108 102
1 13 12 112 119
1 4 27 117 116
1 30 6 124 134
1 1 17 115 110
1 3 16 102 86
1 9 23 125 112
1 21 28 121 109
1 24 29 135 127
1 7 11 116 105
1 14 12 124 117
1 22 27 112 111
1 30 1 111 125
1 5 10 111 132
1 15 21 112 125
1 18 25 114 98
1 20 2 104 131
1 24 8 105 122
1 26 19 123 118
1 13 29 130 110
1 9 4 112 102
1 11 28 94 87
1 17 23 135 127
1 6 18 128 107
1 22 1 106 112
1 30 27 121 131
1 3 4 97 89
1 16 2 85 103
1 17 10 111 125
1 21 19 137 101
1 7 26 128 129
1 8 25 146 117
1 14 29 132 113
1 23 28 103 106
1 12 20 115 128
1 5 9 92 132
1 24 15 112 119
1 2 27 116 103
1 22 4 102 86
1 30 12 130 134
1 3 23 100 96
1 20 1 149 148
1 28 6 108 131
1 5 9 110 128
1 18 17 101 103
1 19 26 111 119
1 21 16 115 101
1 11 24 119 111
1 8 25 132 121
1 29 14 131 119
1 7 10 111 107
1 13 15 128 114
1 11 10 98 105
1 19 26 140 133
1 7 16 118 113
1 18 21 116 101
1 29 13 116 120
1 14 4 97 100
1 12 15 127 113
1 23 2 104 124
1 1 22 108 114
1 3 6 97 110
1 20 5 113 111
1 17 13 116 110
1 8 4 129 115
1 27 24 120 109
1 25 14 102 110
1 6 20 142 105
1 22 15 104 105
1 30 17 101 104
1 28 16 111 120
1 27 9 110 125
1 7 19 111 103
1 11 18 121 115
1 29 21 107 130
1 26 10 108 132
1 5 24 117 121
1 23 3 103 105
1 8 14 100 123
1 29 11 124 115
1 25 4 141 88
1 2 20 118 105
1 10 7 126 102
1 12 13 129 111
1 1 9 143 148
1 22 30 110 90
1 28 24 127 109
1 17 16 120 113
1 19 27 114 96
1 6 15 129 123
1 18 21 123 130
1 9 13 106 97
1 12 8 116 125
1 23 5 110 142
1 30 3 107 99
1 1 16 98 86
1 21 18 128 131
1 29 25 112 114
1 26 4 130 88
1 28 2 101 111
1 22 6 82 122
1 11 17 100 97
1 15 24 151 148
1 19 27 109 103
1 10 4 128 92
1 14 7 107 99
1 9 2 117 97
1 12 28 111 91
1 20 23 110 105
1 30 25 121 129
1 3 21 121 129
1 16 1 131 109
1 5 13 117 122
1 29 26 101 118
1 11 27 118 106
1 22 10 115 121
1 17 8 121 112
1 7 4 103 96
1 24 19 116 124
1 14 18 111 102
1 9 8 119 134
1 1 21 119 135
1 2 6 116 123
1 3 25 102 121
1 16 12 125 120
1 5 28 125 115
1 15 20 113 114
1 24 19 125 108
1 29 18 117 116
1 14 13 106 102
1 4 30 100 113
1 9 3 115 94
1 11 26 103 113
1 15 27 128 130
1 23 10 126 119
1 7 17 117 132
1 2 8 110 103
1 6 25 133 129
1 12 5 127 112
1 16 20 112 116
1 22 28 102 104
1 27 21 132 146
1 29 19 121 128
1 24 18 98 116
1 14 13 108 102
1 4 10 101 119
1 23 25 102 119
1 16 30 106 90
1 15 1 130 132
1 21 11 137 128
1 7 26 98 122
1 29 9 106 134
1 12 11 115 102
1 22 28 113 114
1 1 17 121 127
1 20 10 102 114
1 5 6 117 139
1 18 23 126 112
1 27 3 127 113
1 24 13 119 117
1 14 19 136 115
1 2 25 128 118
1 4 18 110 125
1 6 16 112 107
1 30 29 125 122
1 17 7 137 107
1 8 26 116 110
1 15 21 103 120
1 13 9 123 115
1 22 5 123 125
1 1 12 124 118
1 2 23 123 105
1 3 10 119 121
1 19 11 97 109
1 14 20 113 109
1 4 6 117 118
1 28 29 118 109
1 7 15 111 122
1 16 18 104 106
1 21 25 107 89
1 8 24 149 141
1 26 27 127 109
1 13 20 105 95
1 4 3 105 102
1 11 19 146 117
1 1 12 120 118
1 28 30 117 118
1 16 5 109 114
1 17 22 109 111
1 2 14 111 101
1 10 9 115 110
1 21 8 127 103
1 7 24 116 125
1 19 15 104 107
1 23 29 126 122
1 17 6 100 112
1 18 27 141 124
1 25 9 112 119
1 13 26 111 110
1 1 23 132 123
1 2 29 114 108
1 3 14 111 108
1 16 4 102 105
1 28 30 119 104
1 5 12 121 103
1 11 22 97 84
1 15 24 120 118
1 21 8 127 140
1 27 7 129 133
1 10 25 130 120
1 26 20 104 133
1 6 3 109 104
1 9 30 123 103
1 12 17 115 114
1 19 13 127 120
1 1 4 123 110
1 2 21 112 118
1 28 23 118 105
1 16 13 104 119
1 11 24 111 104
